Country,Region,SubRegion,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,North America,Northern America,120.5,125.3,131.2,137.8,144.1,152.3,148.7,153.2,161.5,172.3,184.6,198.2,213.5,205.8,195.4,208.6,221.3,235.7,248.9,263.4,278.2,294.5,312.1,331.2,351.8,338.5,372.4,395.6,418.3,442.7
Canada,North America,Northern America,45.2,47.1,49.3,51.8,54.2,57.1,55.8,57.4,60.5,64.3,68.7,73.5,78.9,76.2,72.4,77.1,81.8,86.9,91.7,97.1,102.5,108.4,114.7,121.5,128.8,124.1,136.5,144.8,153.2,162.1
Mexico,North America,Central America,28.3,29.5,30.9,32.4,33.9,35.7,34.9,35.9,37.8,40.2,42.9,45.9,49.3,47.6,45.2,48.1,51.1,54.3,57.3,60.7,64.1,67.8,71.8,76.1,80.6,77.6,85.4,90.5,95.8,101.4
Guatemala,North America,Central America,5.2,5.4,5.6,5.9,6.2,6.5,6.4,6.5,6.9,7.3,7.8,8.4,9.0,8.7,8.2,8.8,9.3,9.9,10.4,11.0,11.7,12.3,13.1,13.8,14.7,14.1,15.5,16.5,17.4,18.4
Costa Rica,North America,Central America,4.8,5.0,5.2,5.5,5.7,6.0,5.9,6.1,6.4,6.8,7.3,7.8,8.4,8.1,7.7,8.2,8.7,9.2,9.7,10.3,10.9,11.5,12.2,12.9,13.7,13.2,14.5,15.4,16.3,17.2
Brazil,South America,Eastern South America,52.4,54.6,57.2,60.1,62.9,66.3,64.8,66.7,70.3,74.7,79.8,85.4,91.8,88.6,84.1,89.6,95.1,101.0,106.7,113.0,119.4,126.3,133.7,141.7,150.2,144.6,159.1,168.7,178.6,189.1
Argentina,South America,Southern South America,22.1,23.0,24.1,25.3,26.5,27.9,27.3,28.1,29.6,31.5,33.6,36.0,38.7,37.3,35.4,37.7,40.1,42.5,44.9,47.6,50.3,53.2,56.3,59.7,63.2,60.9,67.0,71.0,75.2,79.6
Chile,South America,Southern South America,15.3,15.9,16.7,17.5,18.4,19.3,18.9,19.4,20.5,21.8,23.2,24.9,26.7,25.8,24.5,26.1,27.7,29.4,31.0,32.9,34.7,36.7,38.9,41.2,43.7,42.1,46.3,49.1,51.9,55.0
Colombia,South America,Northern South America,18.7,19.5,20.4,21.4,22.4,23.6,23.1,23.8,25.1,26.6,28.4,30.4,32.7,31.6,30.0,31.9,33.9,36.0,38.0,40.2,42.5,44.9,47.6,50.4,53.4,51.5,56.6,60.0,63.5,67.3
Peru,South America,Western South America,12.4,12.9,13.5,14.2,14.9,15.7,15.3,15.8,16.6,17.6,18.8,20.2,21.7,20.9,19.9,21.2,22.5,23.9,25.2,26.7,28.2,29.8,31.6,33.5,35.5,34.2,37.6,39.9,42.2,44.7
Germany,Europe,Western Europe,85.6,89.2,93.4,98.1,102.7,108.3,105.8,108.9,114.8,122.0,130.3,139.6,150.0,144.8,137.5,146.4,155.5,165.1,174.4,184.6,195.1,206.4,218.5,231.5,245.4,236.3,260.0,275.6,291.7,308.8
France,Europe,Western Europe,72.3,75.3,78.9,82.9,86.8,91.5,89.4,92.0,97.0,103.1,110.1,117.9,126.7,122.3,116.1,123.6,131.3,139.4,147.2,155.8,164.7,174.2,184.4,195.4,207.1,199.4,219.4,232.5,246.1,260.5
United Kingdom,Europe,Northern Europe,78.4,81.7,85.5,89.8,94.0,99.1,96.8,99.7,105.1,111.7,119.3,127.8,137.3,132.5,125.9,134.0,142.3,151.1,159.6,169.0,178.6,188.9,200.0,212.0,224.7,216.3,238.0,252.2,267.0,282.7
Italy,Europe,Southern Europe,58.2,60.6,63.5,66.7,69.8,73.6,71.9,74.0,78.0,82.9,88.5,94.8,101.8,98.3,93.3,99.3,105.5,112.0,118.3,125.2,132.4,140.0,148.2,157.1,166.5,160.3,176.4,186.9,197.9,209.5
