"station_id","time","bikes","booked_bikes","bikes_available_to_rent","free_racks","free_special_racks","maintenance"
39482836,1661530441.000000,2,0,2,0,0,false
30090094,1661530441.000000,12,0,12,0,0,false
30491956,1661530441.000000,1,0,1,0,0,false
32938910,1661530441.000000,1,0,1,5,0,false
43880445,1661530441.000000,1,0,1,0,0,false
43880672,1661530441.000000,8,0,8,0,0,false
101896428,1661530441.000000,2,0,2,0,0,false
60671694,1661530441.000000,2,0,2,8,0,false
68580553,1661530441.000000,3,0,3,23,0,false
71510354,1661530441.000000,3,0,3,0,0,false
54643,1661530501.000000,1,0,1,0,0,false
6201611,1661530501.000000,3,0,3,0,0,false
294346,1661530501.000000,8,0,8,0,0,false
781866,1661530501.000000,1,1,0,5,0,false
12498723,1661530501.000000,0,0,0,10,0,false
12499462,1661530501.000000,2,0,2,8,0,false
12499561,1661530501.000000,5,0,5,0,0,false
12500478,1661530501.000000,6,0,6,4,0,false
12500646,1661530501.000000,5,0,5,5,0,false
12500877,1661530501.000000,7,0,7,0,0,false
16334300,1661530501.000000,13,0,13,0,0,false
16334924,1661530501.000000,4,0,4,2,0,false
16335549,1661530501.000000,7,0,7,3,0,false
16336520,1661530501.000000,3,0,3,2,0,false
16338002,1661530501.000000,4,0,4,2,0,false
16338984,1661530501.000000,1,0,1,9,0,false
16340595,1661530501.000000,3,0,3,3,0,false
16340824,1661530501.000000,18,0,18,0,0,false
137700,1661530501.000000,15,0,15,1,0,false
50368,1661530501.000000,6,0,6,10,0,false
113559,1661530501.000000,11,0,11,1,0,false
14543518,1661530501.000000,0,0,0,6,0,false
390880,1661530501.000000,3,0,3,7,0,false
50464,1661530501.000000,3,0,3,3,0,false
115696,1661530501.000000,11,0,11,9,0,false
2553504,1661530501.000000,7,0,7,10,10,false
2553516,1661530501.000000,11,0,11,6,6,false
2553592,1661530501.000000,6,0,6,9,9,false
4009817,1661530501.000000,7,0,7,18,17,false
33721327,1661530501.000000,4,0,4,0,0,false
2585263,1661530501.000000,17,0,17,15,15,false
2585275,1661530501.000000,19,0,19,12,11,false
2585283,1661530501.000000,6,0,6,13,13,false
2585308,1661530501.000000,4,0,4,16,15,false
2585315,1661530501.000000,2,0,2,15,12,false
2585351,1661530501.000000,8,0,8,25,24,false
2585381,1661530501.000000,14,0,14,7,7,false
2585389,1661530501.000000,9,0,9,12,12,false
2585396,1661530501.000000,0,0,0,20,20,false
2585401,1661530501.000000,4,0,4,13,13,false
2585406,1661530501.000000,2,0,2,29,29,false
2585410,1661530501.000000,2,0,2,14,13,false
2585412,1661530501.000000,3,0,3,23,23,false
2585416,1661530501.000000,6,0,6,12,11,false
2585422,1661530501.000000,2,0,2,19,19,false
2585429,1661530501.000000,3,0,3,19,19,false
2585430,1661530501.000000,14,0,14,16,15,false
2585438,1661530501.000000,8,0,8,22,22,false
2585453,1661530501.000000,7,0,7,24,20,false
2585750,1661530501.000000,7,0,7,17,16,false
2585764,1661530501.000000,9,0,9,15,15,false
2585779,1661530501.000000,4,0,4,21,20,false
2585785,1661530501.000000,2,0,2,17,17,false
2585807,1661530501.000000,7,0,7,8,8,false
2585814,1661530501.000000,8,0,8,10,10,false
2585817,1661530501.000000,4,0,4,25,25,false
2585837,1661530501.000000,26,0,26,3,3,false
2585839,1661530501.000000,15,0,15,13,13,false
2585848,1661530501.000000,14,0,14,16,15,false
2585871,1661530501.000000,13,0,13,6,6,false
2585883,1661530501.000000,20,0,20,7,7,false
2585905,1661530501.000000,19,0,19,12,12,false
2585921,1661530501.000000,26,0,26,0,0,false
2585936,1661530501.000000,7,0,7,16,16,false
2585956,1661530501.000000,18,0,18,12,12,false
2585961,1661530501.000000,6,0,6,16,16,false
2585982,1661530501.000000,20,0,20,18,18,false
2585995,1661530501.000000,29,0,29,6,6,false
2586000,1661530501.000000,18,0,18,16,16,false
2586014,1661530501.000000,28,0,28,3,3,false
2586021,1661530501.000000,25,0,25,8,8,false
2586022,1661530501.000000,13,0,13,2,2,false
2586037,1661530501.000000,5,0,5,11,9,false
3470029,1661530501.000000,16,0,16,2,2,false
4393742,1661530501.000000,26,0,26,11,11,false
4585378,1661530501.000000,6,0,6,10,9,false
2681635,1661530501.000000,2,0,2,9,9,false
2681666,1661530501.000000,2,0,2,19,18,false
18242657,1661530501.000000,6,0,6,11,11,false
18751910,1661530501.000000,0,0,0,12,11,false
203984,1661530501.000000,2,0,2,8,0,false
1001080,1661530501.000000,9,0,9,2,0,false
3385868,1661530501.000000,13,0,13,0,0,false
280260,1661530501.000000,4,3,1,0,0,false
300645,1661530501.000000,4,4,0,0,0,false
50819425,1661530501.000000,1,0,1,0,0,false
31582358,1661530501.000000,19,0,19,0,0,false
31583019,1661530501.000000,17,0,17,0,0,false
20754767,1661530501.000000,25,0,25,3,3,false
20755087,1661530501.000000,2,0,2,12,12,true
20755616,1661530501.000000,1,0,1,11,11,false
20756620,1661530501.000000,3,0,3,15,15,true
121361,1661530501.000000,2,0,2,7,0,false
339462,1661530501.000000,10,0,10,0,0,true
339466,1661530501.000000,0,0,0,6,0,false
339475,1661530501.000000,28,0,28,0,0,false
28450596,1661530501.000000,1,0,1,0,0,false
30612250,1661530501.000000,6,0,6,0,0,false
2974762,1661530501.000000,7,0,7,3,0,false
2974903,1661530501.000000,1,0,1,15,0,false
6290772,1661530501.000000,3,0,3,1,0,false
8341045,1661530501.000000,10,0,10,0,0,false
31363907,1661530501.000000,1,0,1,0,0,false
59898291,1661530501.000000,3,0,3,0,0,false
2972743,1661530501.000000,10,0,10,3,3,false
30609451,1661530501.000000,5,0,5,7,6,false
74705097,1661530501.000000,13,0,13,1,1,false
74705249,1661530501.000000,10,0,10,2,2,false
206265,1661530501.000000,1,0,1,0,0,false
25116360,1661530501.000000,9,0,9,1,0,false
5445382,1661530501.000000,9,0,9,7,7,false
50401562,1661530501.000000,5,0,5,7,7,false
3581060,1661530501.000000,7,0,7,8,6,false
72519774,1661530501.000000,10,0,10,7,7,false
72520117,1661530501.000000,12,0,12,5,5,false
264292,1661530501.000000,22,0,22,0,0,false
3812694,1661530501.000000,0,0,0,8,4,true
19548440,1661530501.000000,2,0,2,3,3,false
6269987,1661530501.000000,1,0,1,14,0,false
63085276,1661530501.000000,1,0,1,0,0,false
43207841,1661530501.000000,11,0,11,0,0,false
27603092,1661530501.000000,13,0,13,11,11,false
27605146,1661530501.000000,5,0,5,6,6,true
28546939,1661530501.000000,14,0,14,0,0,false
33279243,1661530501.000000,2,0,2,11,11,false
33279627,1661530501.000000,13,0,13,2,1,false
9029217,1661530501.000000,2,1,1,8,3,false
43774434,1661530501.000000,7,0,7,5,0,false
10303108,1661530501.000000,5,0,5,7,0,false
10303184,1661530501.000000,7,0,7,5,0,false
15431167,1661530501.000000,1,0,1,10,0,false
15433765,1661530501.000000,1,0,1,3,0,false
15434805,1661530501.000000,1,0,1,7,0,true
33269648,1661530501.000000,27,0,27,0,0,true
12993715,1661530501.000000,8,0,8,0,0,false
91217025,1661530501.000000,4,0,4,0,0,false
37806812,1661530501.000000,0,0,0,6,4,false
13361473,1661530501.000000,6,0,6,0,0,false
13362167,1661530501.000000,2,0,2,0,0,false
13410760,1661530501.000000,14,0,14,0,0,false
13411230,1661530501.000000,4,0,4,0,0,false
14403130,1661530501.000000,2,0,2,0,0,false
14403318,1661530501.000000,1,0,1,0,0,false
27579156,1661530501.000000,3,0,3,0,0,false
41208888,1661530501.000000,1,0,1,0,0,false
17631326,1661530501.000000,55,0,55,0,0,false
17631437,1661530501.000000,7,0,7,0,0,false
17631542,1661530501.000000,10,0,10,0,0,false
29794742,1661530501.000000,1,1,0,0,0,false
17930223,1661530501.000000,4,0,4,11,11,false
29411692,1661530501.000000,3,0,3,17,7,false
28045472,1661530501.000000,13,0,13,0,0,false
28045576,1661530501.000000,4,0,4,0,0,false
28045931,1661530501.000000,15,0,15,0,0,false
30921540,1661530501.000000,18,0,18,0,0,false
31105440,1661530501.000000,12,0,12,0,0,false
31105565,1661530501.000000,5,0,5,0,0,false
31106088,1661530501.000000,9,0,9,0,0,false
75450728,1661530501.000000,1,0,1,0,0,false
27708448,1661530501.000000,0,0,0,0,0,false
28401324,1661530501.000000,2,0,2,0,0,false
43217423,1661530501.000000,1,0,1,0,0,false
63609999,1661530501.000000,6,0,6,0,0,false
27581959,1661530501.000000,0,0,0,10,0,false
42602068,1661530501.000000,4,0,4,0,0,false
73023518,1661530501.000000,4,0,4,0,0,false
27578973,1661530501.000000,3,0,3,0,0,false
27579549,1661530501.000000,4,0,4,0,0,false
32221385,1661530501.000000,1,0,1,0,0,false
