"id","city_id","name","app_number","terminal_type","place_type","bike_racks","special_racks","rack_locks","lon","lat"
115106264,148,Rajd rowerowy,56000,"",0,0,0,,17.02811,51.089968
133224597,362,virtuell - TIER HQ (Eichhornstraße/Nordost),10165,free,17,6,0,,13.373387,52.506502
142186362,135,BIKE 500100,0,"",12,0,0,,7.821669,51.677449
940986,176,Bahnhof Trassenmoor 5525,5525,"",0,6,0,,13.868973,54.090538
93646685,176,Mutter/Vater-Kind-Kurklinik Haus Möwennest Zinnowitz,5529,stele,0,15,0,,13.91897,54.073088
110481932,613,"Regionalkonferenz, kleiner Bahnhof, Kielregion , Pop Up",20162,"",21,0,0,,10.139056,54.299494
109357224,529,WOSIR | Drzonków,1161,free,0,0,0,,15.570169,51.898206
114363175,16,Herford Bielefelder Str. 5,33081,free,0,0,0,,8.664605,52.113828
114403576,16,Herford Bf.,33082,free,0,0,0,,8.663972,52.118889
84538746,129,DB Schenker,7599,traffic_sign,0,0,0,,7.501264,51.532452
111365509,243,Station Road,8494,smart_sign,0,20,0,,-3.93612,56.119272
143316686,14,(H) Neunfelder Str.,50770,free,16,0,0,,7.055833,50.969579
405835,302,Birkirkara Road,6868,sign,0,6,0,,14.481456,35.906836
8612883,302,Wasteserv,6839,"7inch",0,6,0,,14.552025,35.862522
6626134,302,Salini Resort,6850,sign,0,6,0,,14.426363,35.948134
47283600,729,VIVO! Lublin,60151,sign,0,15,0,,22.57565,51.25066
146730109,661,P1 - Vekopřevorské nám.,49545,sign,0,2,0,,14.406686,50.086084
66072,176,Fahrradverleih Holtz Karlshagen 5502,5502,stele,0,6,0,,13.828264,54.117313
66080,176,Fahrradverleih Hertel Trassenheide 5503,5503,sign,0,6,0,,13.870595,54.093233
113293226,50,recording_158940958,0,free,0,0,0,,6.79646,51.196363
107283844,362,virtuell - U Friedrich-Wilhelm-Platz,1554,free,17,4,0,,13.327917,52.471278
110473405,629,FORMENTERA,3865,"",0,0,0,,1.434906,38.91246
67303995,613,"Straßenfest Teichstraße , Pop Up",20152,"",21,0,0,,10.129153,54.329466
81369279,129,InnaMoRuhr Reallabor,7581,free,0,0,0,,7.416148,51.491519
258292,176,Hangar 10 am Flugplatz  5618,5618,stele,6,6,0,,14.146521,53.876952
115719848,728,Università di Bergamo (event),61099,"",17,0,0,,9.660852,45.687009
130175397,184,Gmünd / WK,355300,"",0,0,0,,14.979298,48.768507
78410116,613,"Klimawoche, Lille-Brauerei, Pop Up",20153,"",21,0,0,,10.111595,54.331277
115981729,362,virtuell - EDEKA Gracka,1602,free,17,4,0,,13.309212,52.51829
6009712,192,Kórnicka,15512,"7inch",0,15,0,,16.95297,52.39908
140911390,833,TMB Test station,34980,stele,14,10,0,,2.143654,41.346571
81369035,134,Wissenschaftspark Gelsenkirchen,7580,free,0,0,0,,7.107439,51.497658
144456371,14,Wiener Platz 8 (R),50798,sign,17,0,0,,7.005359,50.963124
4918885,8,Frankfurt University (Gebäude 1),4198,free,0,0,0,,8.692959,50.129929
4919882,8,AStA Frankfurt University of Applied Sciences,4227,sign,0,10,0,,8.69218,50.13039
3318701,210,E-bike - Plac Trzech Krzyży,9705,"7inch",14,15,0,,21.023372,52.227975
75832440,767,Lipůvka,48537,sign,0,0,0,,16.552767,49.33905
116159612,362,virtuell - EDEKA Herrfurth,1716,free,17,4,0,,13.422892,52.477109
72520083,431,Arena,3955,"7inch",0,17,0,,18.05416,51.74862
108937551,362,BIKE 17810,0,"",12,0,0,,13.450139,52.496616
116147875,362,virtuell - EDEKA Andreasstraße,1635,free,17,4,0,,13.431693,52.515059
352763,281,Talavera / Luitpoldstr. / Zugang zum LGS 90,4110,"7inch",0,12,0,,9.920923,49.797818
352762,281,Hauptbahnhof / Bahnhofsvorplatz,4112,"7inch",0,12,0,,9.935843,49.80115
72520522,431,Dobrzecka/Reja,3964,"7inch",0,12,0,,18.07064,51.758
2681666,372,Warsaw Spire,6423,character,0,20,0,,20.98335,52.232524
202968,174,Zehn vor Wien / Strebersdorferhof,3563,"",0,0,0,,16.387085,48.29181
2553613,192,Bułgarska / Marcelińska,15601,"7inch",0,14,0,,16.86674,52.40465
2553667,192,Rynek Wschodni,15605,"7inch",0,15,0,,16.97072,52.42123
2553676,192,Koronkarska,15606,"7inch",0,15,0,,16.96008,52.41643
2553679,192,Złotowska,15609,"7inch",0,13,0,,16.82359,52.40972
4009817,192,Kościuszki,15544,"7inch",0,24,0,,16.92183,52.40354
57216280,660,Lidl - Palackého tř.,48551,sign,0,0,0,,16.591177,49.230506
8338582,521,Stary Rynek,2226,"7inch",0,15,0,,19.685721,52.544611
8338591,521,Zalew Sobótka,2227,"7inch",0,15,0,,19.67978,52.545768
8338695,521,Kobylińskiego - Bielska,2235,"7inch",0,20,0,,19.690318,52.549954
9945912,521,Nowe Gulczewo – Gmina Słupno,2273,"7inch",0,15,0,,19.773228,52.533624
13696021,521,Harcerska - Żelazna,2252,"7inch",0,15,0,,19.76878,52.51409
13696183,521,Przemysłowa - NSZ,2253,"7inch",0,15,0,,19.69811,52.56075
13696193,521,Górna,2251,"7inch",0,15,0,,19.72477,52.53548
20066490,521,Galeria Mazovia,2254,"7inch",0,10,0,,19.750271,52.537442
28526473,521,Traktowa - Szpitalna,2277,"7inch",0,15,0,,19.64106,52.56087
33275893,639,ORLEN-Brama 1,6366,character,0,15,0,,19.652876,52.586098
33277348,639,ORLEN-Przemysłowa/Kostrogaj,6391,character,0,15,0,,19.702693,52.569308
33277356,639,ORLEN-Mazowiecka/Korczaka,6392,character,0,15,0,,19.757817,52.515973
33277361,639,ORLEN-Grabina,6393,character,0,15,0,,19.641475,52.48348
33277367,639,ORLEN-Portowa/Kolejowa,6394,character,0,15,0,,19.684938,52.532262
33278936,639,ORLEN-Brama 2,6367,character,0,29,0,,19.678088,52.577019
89818582,8,Ginnheim U-Bahn Niddapark,4310,free,0,0,0,,8.6438,50.145374
14042908,620,Rondo Żabikowskie,6244,"7inch",0,15,0,,16.882107,52.352165
17631408,613,Hafen Laboe,20018,sign,14,5,0,,10.219583,54.403583
115995040,613,"Gesundheitstag der Landesministerien, Pop Up",20153,"",21,0,0,,10.152999,54.335869
121575,192,Rondo Śródka,15567,"7inch",0,28,0,,16.95538,52.409265
121576,192,Królowej Jadwigi/Juracka,15568,"7inch",0,16,0,,16.95003,52.396245
121577,192,Półwiejska,15569,"7inch",0,14,0,,16.928226,52.400894
104996978,613,"Klärwerk Bülk, Pop Up",20154,"",21,0,0,,10.190165,54.453551
28453552,660,Hviezdoslavova - Lidl,46658,sign,0,0,0,,16.66928,49.182885
1117377,192,Rynek Łazarski,15555,sign,0,20,0,,16.900883,52.394213
30240032,681,Městský stadion - vstup,47747,sign,0,0,0,,14.91361,50.42561
117329488,691,Schmerbroich,538534,traffic_sign,17,0,0,,7.2137,50.763476
13020648,192,Bukowska/Polna,15628,sign,0,0,0,,16.894423,52.409034
63562936,626,Erlangen - Hauptbahnhof,4601,smart_sign,0,0,0,,11.000565,49.595691
63563027,626,Erlangen - Mozartstraße,4602,smart_sign,0,0,0,,11.012501,49.591762
63563167,626,Erlangen - Siemens Campus,4603,smart_sign,0,0,0,,10.999546,49.578024
139041176,773,KLARA Sparchen,32524,sign,23,1,0,,12.17886,47.590185
135791419,362,virtuell - Reuchlinstraße/Huttenstraße,102,free,17,4,0,,13.334105,52.526762
