"utente_key","id_utente","eta","tipo_abbonamento_corrente","recency_giorni","frequency","monetary_minuti","durata_media_minuti","distanza_media_km","totale_bici_usate","totale_citta_visitate","is_churn"
1,1,45,"Mensile",535,"256","4729","18.4726562500000000","1.7933203125000000","8","3",1
2,2,28,"Mensile",535,"131","2305","17.5954198473282443","1.8863358778625954","9","4",1
3,3,32,"Annuale",540,"83","1467","17.6746987951807229","1.5630120481927711","8","2",1
4,4,23,"Mensile",538,"47","910","19.3617021276595745","1.7568085106382979","8","3",1
5,5,63,"Annuale",546,"30","568","18.9333333333333333","1.3943333333333333","6","2",1
6,6,28,"Mensile",538,"31","459","14.8064516129032258","1.8470967741935484","6","3",1
7,7,49,"Annuale",537,"24","358","14.9166666666666667","2.0083333333333333","5","2",1
8,8,36,"Mensile",540,"24","419","17.4583333333333333","1.7654166666666667","7","2",1
9,9,59,"Mensile",567,"15","605","40.3333333333333333","1.9126666666666667","4","2",1
10,10,35,"Annuale",535,"26","320","12.3076923076923077","1.5696153846153846","6","3",1
11,11,68,"Annuale",556,"13","136","10.4615384615384615","1.02307692307692307692","5","3",1
12,12,70,"Mensile",536,"18","257","14.2777777777777778","1.5505555555555556","7","3",1
13,13,46,"Annuale",537,"9","157","17.4444444444444444","1.6733333333333333","5","2",1
14,14,64,"Annuale",535,"10","272","27.2000000000000000","1.2650000000000000","6","2",1
15,15,36,"Annuale",540,"11","263","23.9090909090909091","2.0681818181818182","4","3",1
16,16,45,"Mensile",542,"9","176","19.5555555555555556","2.7377777777777778","6","2",1
17,17,29,"Mensile",538,"7","360","51.4285714285714286","2.1285714285714286","4","2",1
18,18,26,"Annuale",540,"6","96","16.0000000000000000","1.8116666666666667","4","2",1
19,19,63,"Annuale",588,"3","72","24.0000000000000000","0.95333333333333333333","3","2",1
20,20,53,"Mensile",611,"6","64","10.6666666666666667","1.3266666666666667","2","2",1
21,21,46,"Annuale",581,"6","61","10.1666666666666667","1.3216666666666667","4","2",1
22,22,37,"Mensile",589,"7","58","8.2857142857142857","1.04428571428571428571","4","2",1
23,23,38,"Annuale",558,"4","38","9.5000000000000000","1.5875000000000000","2","2",1
24,24,62,"Mensile",564,"7","97","13.8571428571428571","1.9814285714285714","4","3",1
25,25,67,"Mensile",536,"6","80","13.3333333333333333","1.9000000000000000","4","2",1
26,26,21,"Annuale",561,"8","170","21.2500000000000000","1.5325000000000000","4","2",1
