product_id,price,shipping_cost,marketing_budget,material_quality,category,season,customer_reviews,competition_level,is_bestseller
P0001,46.89,4.38,1212.0,7.0,Electronics,Winter,3.6,1,1
P0002,30.06,6.02,124.0,3.0,Apparel,Fall,2.0,3,0
P0003,52.11,5.1,1034.0,6.0,Apparel,Winter,3.1,3,1
P0004,96.17,5.51,54.0,7.0,Apparel,Fall,3.1,4,0
P0005,28.11,3.43,1409.0,9.0,Home,Winter,4.1,2,1
P0006,28.11,3.95,1924.0,5.0,Sports,Winter,2.4,5,1
P0007,100.03,7.81,327.0,7.0,Toys,Spring,3.5,2,0
P0008,56.67,6.04,771.0,3.0,Electronics,Spring,1.1,1,0
P0009,23.84,5.55,6940.0,2.0,Home,Fall,1.3,4,0
P0010,48.41,5.04,363.0,8.0,Toys,Fall,4.3,1,1
P0011,23.94,4.09,187.0,6.0,Apparel,Spring,,3,0
P0012,23.9,3.46,3936.0,8.0,Sports,Winter,3.4,5,1
P0013,39.23,4.27,7010.0,4.0,Sports,Fall,2.0,3,1
P0014,8.68,3.61,668.0,7.0,Apparel,Summer,2.8,2,1
P0015,9.9,2.94,2239.0,9.0,Beauty,Summer,3.1,3,1
P0016,22.34,3.54,3327.0,7.0,Sports,Summer,3.2,3,1
P0017,16.3,4.36,273.0,6.0,Apparel,Fall,3.0,3,1
P0018,41.26,5.73,372.0,6.0,Apparel,Spring,2.9,4,0
P0019,17.54,12.63,2913.0,3.0,Apparel,Spring,1.8,2,0
P0020,12.32,6.93,5024.0,8.0,Electronics,Spring,3.6,5,1
P0021,92.38,6.81,1307.0,5.0,Electronics,Fall,3.0,3,0
P0022,28.27,4.17,,7.0,Electronics,Fall,,4,0
P0023,34.72,5.06,7219.0,3.0,Electronics,Summer,1.6,2,1
P0024,12.22,5.18,352.0,4.0,Beauty,Fall,2.1,5,0
P0025,22.62,3.37,445.0,9.0,Electronics,Summer,4.2,3,1
P0026,35.79,4.36,,5.0,Apparel,Summer,3.1,3,1
P0027,14.8,5.69,4294.0,9.0,Electronics,Spring,3.7,2,1
P0028,43.08,4.52,1853.0,6.0,Electronics,Fall,2.9,2,1
P0029,21.75,4.43,1094.0,3.0,Electronics,Spring,2.0,4,0
P0030,27.0,4.64,1160.0,8.0,Electronics,Spring,3.2,2,1
P0031,21.73,3.46,701.0,5.0,Apparel,Fall,2.6,2,1
P0032,121.1,6.81,1300.0,7.0,Sports,Fall,2.7,2,0
P0033,32.8,4.09,50.0,6.0,Toys,Winter,2.2,4,0
P0034,15.79,3.01,466.0,3.0,Electronics,Summer,2.0,2,0
P0035,58.9,4.3,889.0,6.0,Electronics,Winter,2.7,3,1
P0036,14.09,5.6,167.0,10.0,Home,Summer,4.4,3,1
P0037,38.33,4.13,1057.0,7.0,Sports,Summer,3.2,1,1
P0038,8.4,3.85,520.0,6.0,Electronics,Summer,2.5,1,1
P0039,13.07,3.42,5467.0,8.0,Beauty,Spring,3.6,3,1
P0040,38.01,7.88,4392.0,6.0,Home,Spring,2.4,2,1
P0041,55.53,4.62,380.0,6.0,Electronics,Fall,3.5,4,0
P0042,37.34,4.46,555.0,4.0,Home,Summer,1.7,4,0
P0043,30.54,6.51,609.0,6.0,Toys,Summer,2.8,4,1
P0044,26.82,6.07,387.0,8.0,Sports,Summer,3.2,5,1
P0045,11.76,3.16,841.0,4.0,Apparel,Spring,2.4,3,1
P0046,20.01,5.53,268.0,9.0,Electronics,Fall,3.8,4,1
P0047,23.99,4.14,171.0,6.0,Electronics,Spring,2.7,2,1
P0048,69.41,5.57,1404.0,4.0,Electronics,Winter,2.5,5,0
P0049,42.12,3.98,1416.0,8.0,Sports,Winter,3.6,5,1
