is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
0,342,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,C,C,3,No Deposit,0,0,0,Transient,0.0,0,0
0,737,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,C,C,4,No Deposit,0,0,0,Transient,0.0,0,0
0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,A,C,0,No Deposit,0,0,0,Transient,75.0,0,0
0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,A,A,0,No Deposit,304,0,0,Transient,75.0,0,0
0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,240,0,0,Transient,98.0,0,1
0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,240,0,0,Transient,98.0,0,1
0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,C,C,0,No Deposit,0,0,0,Transient,107.0,0,0
0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,C,C,0,No Deposit,303,0,0,Transient,103.0,0,1
1,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,240,0,0,Transient,82.0,0,1
1,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,15,0,0,Transient,105.5,0,0
