is_canceled,booking_confirmed,lead_time,lead_time_group,arrival_date_year,arrival_date_month,arrival_month_num,arrival_month_num_str,season,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,weekend_flag,stays_in_week_nights,trip_type,total_nights,stay_type,adults,children,has_children,babies,guest_group,meal,country_group,market_segment,distribution_channel,reserved_room_type,assigned_room_type,room_changed,booking_changes_group,deposit_type,agent_group,company_booking,has_waiting_list,customer_type,adr,adr_category,needs_parking,special_requests_group
0,1,342,181-365,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,0,business_trip,0,2_3_nights,2,0,0,0,couple,BB,PRT,Direct,Direct,C,C,0,2+_change,No Deposit,no_agent,0,0,Transient,0.0,cheap,0,0_request
0,1,737,600+,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,0,business_trip,0,2_3_nights,2,0,0,0,couple,BB,PRT,Direct,Direct,C,C,0,2+_change,No Deposit,no_agent,0,0,Transient,0.0,cheap,0,0_request
0,1,7,0-7,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,1,business_trip,1,1_night,1,0,0,0,single,BB,GBR,Direct,Direct,A,C,1,0_change,No Deposit,no_agent,0,0,Transient,75.0,medium,0,0_request
0,1,13,8-30,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,1,business_trip,1,1_night,1,0,0,0,single,BB,GBR,Corporate,Corporate,A,A,0,0_change,No Deposit,other_agent,0,0,Transient,75.0,medium,0,0_request
0,1,14,8-30,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,2,business_trip,2,2_3_nights,2,0,0,0,couple,BB,GBR,Online TA,TA/TO,A,A,0,0_change,No Deposit,agent_240,0,0,Transient,98.0,medium,0,1_request
0,1,14,8-30,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,2,business_trip,2,2_3_nights,2,0,0,0,couple,BB,GBR,Online TA,TA/TO,A,A,0,0_change,No Deposit,agent_240,0,0,Transient,98.0,medium,0,1_request
0,1,0,0-7,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,2,business_trip,2,2_3_nights,2,0,0,0,couple,BB,PRT,Direct,Direct,C,C,0,0_change,No Deposit,no_agent,0,0,Transient,107.0,medium,0,0_request
0,1,9,8-30,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,2,business_trip,2,2_3_nights,2,0,0,0,couple,FB,PRT,Direct,Direct,C,C,0,0_change,No Deposit,other_agent,0,0,Transient,103.0,medium,0,1_request
1,0,85,31-90,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,3,business_trip,3,2_3_nights,2,0,0,0,couple,BB,PRT,Online TA,TA/TO,A,A,0,0_change,No Deposit,agent_240,0,0,Transient,82.0,medium,0,1_request
1,0,75,31-90,2015,July,7,07,3_summer,27,1,2015-07-01,0,0,3,business_trip,3,2_3_nights,2,0,0,0,couple,HB,PRT,Offline TA/TO,TA/TO,D,D,0,0_change,No Deposit,other_agent,0,0,Transient,105.5,medium,0,0_request
