booking_confirmed,lead_time,arrival_month_num,3_summer,4_autumn,1_winter,2_spring,arrival_date_week_number,weekend_flag,type_business_trip,type_mixed_trip,type_weekend_trip,total_nights,adults,children,has_children,babies,guest_couple,guest_single,guest_small_group,guest_large_group,meal_BB,meal_FB,meal_HB,meal_SC,meal_Undefined,country_PRT,country_GBR,country_Other,country_ESP,country_IRL,country_FRA,country_POL,country_DEU,country_CN,country_NLD,country_SWE,country_BRA,mark_segm_Direct,mark_segm_Corporate,mark_segm_Online TA,mark_segm_Offline TA/TO,mark_segm_Complementary,mark_segm_Groups,mark_segm_Aviation,distrib_chan_Direct,distrib_chan_Corporate,distrib_chan_TA/TO,distrib_chan_GDS,reserved_C,reserved_A,reserved_D,reserved_E,reserved_G,reserved_F,reserved_H,reserved_L,reserved_B,reserved_P,assigned_C,assigned_A,assigned_D,assigned_E,assigned_G,assigned_F,assigned_I,assigned_B,assigned_H,assigned_L,assigned_K,assigned_P,room_changed,booking_2+_change,booking_0_change,booking_1_change,deposit_No Deposit,deposit_Refundable,deposit_Non Refund,agent_no_agent,agent_other_agent,agent_agent_240,agent_agent_9,agent_agent_6,agent_agent_1,agent_agent_7,agent_agent_14,company_booking,has_waiting_list,cust_type_Transient,cust_type_Contract,cust_type_Transient-Party,cust_type_Group,adr,needs_parking,spec_request_0_request,spec_request_1_request,spec_request_3_requests,spec_request_2_requests,spec_request_4+_requests,lead_time_min,lead_time_max,arrival_month_num_min,arrival_month_num_max,arrival_date_week_number_min,arrival_date_week_number_max,total_nights_min,total_nights_max,adults_min,adults_max,children_min,children_max,babies_min,babies_max,adr_min,adr_max
0,85,7,1,0,0,0,27,0,1,0,0,3,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,82.0,0,0,1,0,0,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,0,8,1,0,0,0,31,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,65.0,0,0,1,0,0,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,75,7,1,0,0,0,27,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,105.5,0,1,0,0,0,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,1,10,0,1,0,0,45,1,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,55.0,0,1,0,0,0,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,23,7,1,0,0,0,27,0,1,0,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,123.0,0,1,0,0,0,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,3,1,0,0,1,0,3,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,35.0,0,0,1,0,0,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,60,7,1,0,0,0,27,1,0,1,0,7,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,107.0,0,0,0,0,1,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,32,2,0,0,1,0,7,0,1,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,76.5,0,0,0,0,1,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,96,7,1,0,0,0,27,1,0,1,0,10,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,108.3,0,0,0,0,1,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
0,35,2,0,0,1,0,5,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,35.0,0,1,0,0,0,0,0,737,1,12,1,53,0,57,0,55,0,3,0,2,-6.38,5400.0
