booking_confirmed,lead_time,arrival_month_num,3_summer,4_autumn,1_winter,2_spring,arrival_date_week_number,weekend_flag,type_business_trip,type_mixed_trip,type_weekend_trip,total_nights,adults,children,has_children,babies,guest_couple,guest_single,guest_small_group,guest_large_group,meal_BB,meal_FB,meal_HB,meal_SC,meal_Undefined,country_PRT,country_GBR,country_Other,country_ESP,country_IRL,country_FRA,country_POL,country_DEU,country_CN,country_NLD,country_SWE,country_BRA,mark_segm_Direct,mark_segm_Corporate,mark_segm_Online TA,mark_segm_Offline TA/TO,mark_segm_Complementary,mark_segm_Groups,mark_segm_Aviation,distrib_chan_Direct,distrib_chan_Corporate,distrib_chan_TA/TO,distrib_chan_GDS,reserved_C,reserved_A,reserved_D,reserved_E,reserved_G,reserved_F,reserved_H,reserved_L,reserved_B,reserved_P,assigned_C,assigned_A,assigned_D,assigned_E,assigned_G,assigned_F,assigned_I,assigned_B,assigned_H,assigned_L,assigned_K,assigned_P,room_changed,booking_2+_change,booking_0_change,booking_1_change,deposit_No Deposit,deposit_Refundable,deposit_Non Refund,agent_no_agent,agent_other_agent,agent_agent_240,agent_agent_9,agent_agent_6,agent_agent_1,agent_agent_7,agent_agent_14,company_booking,has_waiting_list,cust_type_Transient,cust_type_Contract,cust_type_Transient-Party,cust_type_Group,adr,needs_parking,spec_request_0_request,spec_request_1_request,spec_request_3_requests,spec_request_2_requests,spec_request_4+_requests
0,0.1153,0.545,1,0,0,0,0.5,0,1,0,0,0.053,0.036,0.0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.016,0,0,1,0,0,0
0,0.0,0.636,1,0,0,0,0.577,0,1,0,0,0.035,0.018,0.0,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.013,0,0,1,0,0,0
0,0.1018,0.545,1,0,0,0,0.5,0,1,0,0,0.053,0.036,0.0,0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.021,0,1,0,0,0,0
0,0.0014,0.818,0,1,0,0,0.846,1,0,0,1,0.018,0.036,0.0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.011,0,1,0,0,0,0
0,0.0312,0.545,1,0,0,0,0.5,0,1,0,0,0.07,0.036,0.0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.024,0,1,0,0,0,0
0,0.0041,0.0,0,0,1,0,0.038,0,1,0,0,0.018,0.018,0.0,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.008,0,0,1,0,0,0
0,0.0814,0.545,1,0,0,0,0.5,1,0,1,0,0.123,0.036,0.0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.021,0,0,0,0,1,0
0,0.0434,0.091,0,0,1,0,0.115,0,1,0,0,0.035,0.036,0.0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.015,0,0,0,0,1,0
0,0.1303,0.545,1,0,0,0,0.5,1,0,1,0,0.175,0.036,0.0,0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.021,0,0,0,0,1,0
0,0.0475,0.091,0,0,1,0,0.077,0,1,0,0,0.018,0.018,0.0,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.008,0,1,0,0,0,0
